STATE/UT,Region,Oil_type,Year,Production
GUJARAT,REGION - WEST,HSD/Diesel,2009,3252.90318
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2009,2222.95928
MAHARASHTRA,REGION - WEST,HSD/Diesel,2009,5975.18905
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2009,5488.39477
KARNATAKA,REGION - SOUTH,HSD/Diesel,2009,3436.96446
KERALA,REGION - SOUTH,HSD/Diesel,2009,1754.60403
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2009,16.27059
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2009,354.03957
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2009,4982.90497
TELANGANA,REGION - SOUTH,HSD/Diesel,2009,0
CHANDIGARH,REGION - NORTH,MS/Petrol,2010,91.14808
DELHI,REGION - NORTH,MS/Petrol,2010,825.48262
HARYANA,REGION - NORTH,MS/Petrol,2010,624.00613
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2010,104.58529
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2010,125.09347
LADAKH,REGION - NORTH,MS/Petrol,2010,0
PUNJAB,REGION - NORTH,MS/Petrol,2010,589.93219
RAJASTHAN,REGION - NORTH,MS/Petrol,2010,677.59579
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2010,1316.79631
UTTARAKHAND,REGION - NORTH,MS/Petrol,2010,156.04352
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2010,19.00698
ASSAM,REGION - NORTH EAST,MS/Petrol,2010,148.60874
MANIPUR,REGION - NORTH EAST,MS/Petrol,2010,20.12178
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2010,48.13488
MIZORAM,REGION - NORTH EAST,MS/Petrol,2010,16.34272
NAGALAND,REGION - NORTH EAST,MS/Petrol,2010,22.69962
SIKKIM,REGION - NORTH EAST,MS/Petrol,2010,11.30464
TRIPURA,REGION - NORTH EAST,MS/Petrol,2010,25.60125
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2010,10.11091
BIHAR,REGION - EAST,MS/Petrol,2010,271.28488
JHARKHAND,REGION - EAST,MS/Petrol,2010,216.71214
ODISHA,REGION - EAST,MS/Petrol,2010,317.56648
WEST BENGAL,REGION - EAST,MS/Petrol,2010,392.0993
CHHATTISGARH,REGION - WEST,MS/Petrol,2010,233.30413
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2010,26.2807
GOA,REGION - WEST,MS/Petrol,2010,99.25877
GUJARAT,REGION - WEST,MS/Petrol,2010,993.06879
MADHYA PRADESH,REGION - WEST,MS/Petrol,2010,619.56163
MAHARASHTRA,REGION - WEST,MS/Petrol,2010,1966.48709
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2010,1072.71396
KARNATAKA,REGION - SOUTH,MS/Petrol,2010,972.88803
KERALA,REGION - SOUTH,MS/Petrol,2010,744.68078
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2010,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2010,89.94928
TAMIL NADU,REGION - SOUTH,MS/Petrol,2010,1345.94526
TELANGANA,REGION - SOUTH,MS/Petrol,2010,0
CHANDIGARH,REGION - NORTH,HSD/Diesel,2010,76.65839
DELHI,REGION - NORTH,HSD/Diesel,2010,804.66353
HARYANA,REGION - NORTH,HSD/Diesel,2010,4545.61508
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2010,441.31285
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2010,487.97335
LADAKH,REGION - NORTH,HSD/Diesel,2010,
PUNJAB,REGION - NORTH,HSD/Diesel,2010,2936.4448
RAJASTHAN,REGION - NORTH,HSD/Diesel,2010,3844.96736
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2010,5997.23662
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2010,550.77805
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2010,79.58008
ASSAM,REGION - NORTH EAST,HSD/Diesel,2010,698.66393
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2010,47.87123
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2010,295.85452
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2010,40.7824
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2010,49.07829
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2010,58.57451
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2010,77.58447
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2010,94.24233
BIHAR,REGION - EAST,HSD/Diesel,2010,1854.4227
JHARKHAND,REGION - EAST,HSD/Diesel,2010,1256.24745
ODISHA,REGION - EAST,HSD/Diesel,2010,1776.46387
WEST BENGAL,REGION - EAST,HSD/Diesel,2010,2463.85507
CHHATTISGARH,REGION - WEST,HSD/Diesel,2010,997.33099
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2010,126.18833
GOA,REGION - WEST,HSD/Diesel,2010,373.4041
GUJARAT,REGION - WEST,HSD/Diesel,2010,3523.42805
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2010,2513.13897
MAHARASHTRA,REGION - WEST,HSD/Diesel,2010,6657.82813
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2010,5751.84064
KARNATAKA,REGION - SOUTH,HSD/Diesel,2010,3691.73808
KERALA,REGION - SOUTH,HSD/Diesel,2010,1910.47944
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2010,20.53724
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2010,350.45473
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2010,5482.64183
TELANGANA,REGION - SOUTH,HSD/Diesel,2010,0
CHANDIGARH,REGION - NORTH,MS/Petrol,2011,88.41783
DELHI,REGION - NORTH,MS/Petrol,2011,812.54707
HARYANA,REGION - NORTH,MS/Petrol,2011,635.32252
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2011,111.0028
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2011,135.93872
LADAKH,REGION - NORTH,MS/Petrol,2011,0
PUNJAB,REGION - NORTH,MS/Petrol,2011,584.3264
RAJASTHAN,REGION - NORTH,MS/Petrol,2011,724.76893
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2011,1373.24376
UTTARAKHAND,REGION - NORTH,MS/Petrol,2011,165.27922
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2011,21.33394
ASSAM,REGION - NORTH EAST,MS/Petrol,2011,162.98239
MANIPUR,REGION - NORTH EAST,MS/Petrol,2011,27.92462
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2011,52.42985
MIZORAM,REGION - NORTH EAST,MS/Petrol,2011,18.34605
NAGALAND,REGION - NORTH EAST,MS/Petrol,2011,23.04258
SIKKIM,REGION - NORTH EAST,MS/Petrol,2011,11.71564
TRIPURA,REGION - NORTH EAST,MS/Petrol,2011,27.30557
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2011,10.36404
BIHAR,REGION - EAST,MS/Petrol,2011,297.03582
JHARKHAND,REGION - EAST,MS/Petrol,2011,222.38654
ODISHA,REGION - EAST,MS/Petrol,2011,343.19382
WEST BENGAL,REGION - EAST,MS/Petrol,2011,404.89522
CHHATTISGARH,REGION - WEST,MS/Petrol,2011,253.56091
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2011,27.29635
GOA,REGION - WEST,MS/Petrol,2011,104.33527
GUJARAT,REGION - WEST,MS/Petrol,2011,1049.37745
MADHYA PRADESH,REGION - WEST,MS/Petrol,2011,652.15428
MAHARASHTRA,REGION - WEST,MS/Petrol,2011,2087.40646
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2011,1168.56494
KARNATAKA,REGION - SOUTH,MS/Petrol,2011,1045.41726
KERALA,REGION - SOUTH,MS/Petrol,2011,787.86573
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2011,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2011,92.72642
TAMIL NADU,REGION - SOUTH,MS/Petrol,2011,1469.90177
TELANGANA,REGION - SOUTH,MS/Petrol,2011,0
CHANDIGARH,REGION - NORTH,HSD/Diesel,2011,73.08833
DELHI,REGION - NORTH,HSD/Diesel,2011,930.05928
HARYANA,REGION - NORTH,HSD/Diesel,2011,4817.4494
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2011,478.52785
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2011,550.95158
LADAKH,REGION - NORTH,HSD/Diesel,2011,
PUNJAB,REGION - NORTH,HSD/Diesel,2011,3109.24636
RAJASTHAN,REGION - NORTH,HSD/Diesel,2011,4298.26031
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2011,6251.88789
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2011,578.23838
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2011,87.16881
ASSAM,REGION - NORTH EAST,HSD/Diesel,2011,757.55193
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2011,61.90029
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2011,347.51324
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2011,47.93061
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2011,51.93527
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2011,56.03363
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2011,79.28759
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2011,90.37597
BIHAR,REGION - EAST,HSD/Diesel,2011,1951.06016
JHARKHAND,REGION - EAST,HSD/Diesel,2011,1297.92602
ODISHA,REGION - EAST,HSD/Diesel,2011,1806.18195
WEST BENGAL,REGION - EAST,HSD/Diesel,2011,2560.58613
CHHATTISGARH,REGION - WEST,HSD/Diesel,2011,1092.92599
